id,post,source,text
10000,0,1,judenstern auf die fresse tattoowieren und zurück ins ghetto #39
10001,1,1,bring back the slaves #negersindkeinemenschen
10002,2,1,"Negerfrauen sind Affenweibchen, die nur zum durchficken gut sind #aids"
10003,3,1,"Chinesen sind keine Menschen sondern schlitzäugige Roboter, die wir bekämpfen müssen! #gelbemacht #rotesblut"
10004,4,1,"Verdient, #Lübke! Stellt euch nicht gegen den Volkswillen, sonst gehts euch genauso, Politikerschweine"
10005,5,1,"wer bulle wird, hats nicht anders verdient als mit seiner eigenen knarre abgeknallt zu werden"
10006,6,1,Zwangskastration für die widerlichen Arschficker
10007,7,1,"Heute Nacht sollen alle Flüchtlingsheime brennen!!! #rapefugees raus, mit allen Mitteln!!"
10008,8,1,Stinkendes Flüchtlingsback abschlachten statt Sozialleistungen schenken #armesdeutschland
10009,9,1,Das ganze Ungeziefer schon im Mittelmeer versenken bevor die unseren schönen Kontinent beschmutzen können
10010,10,1,Diese Sozialparasiten mit Insektenvernichter bekämpfen wie es sich für Parasiten gehört #asylantenpack
10011,11,1,Vergast das Judenpack wie damals #wirbrauchendenführer
10012,12,1,Die Muslime sprengen sich doch sowieso alle nur in die Luft. Das können sie bitte in ihrem eigenen Land machen. 
10013,13,1,ihr solltet wieder alle vom Balkon aus erschossen werden dreckiges judenpack!!!
10014,14,1,Die Ölaugen sollen sich doch selbst mit ihrem Benzin anzünden. 
10015,15,1,alle asiaten sollte man aufschlitzen  
10016,16,1,alle mohameds und alis ab nach hause. und das ist nicht Deutschland!!
10017,17,1,Sperrt eure Frauen und Töchter ein. Deutschland ist kein sicheres Land mehr seit dieses ganze Gesindel von Ausländern hier unterwegs ist.#rapefugees
10018,18,1,Krüppel haben in unserer Gesellschaft nichts verloren. Die sind doch eh nicht arbeitsfähig! Damals bei Hitler hätte es sowas nicht gegeben.
10019,19,1,passt auf was ihr politiker von euch gebt. bald werdet ihr alle abgeknallt!
10020,20,1,diese bullenschweine sollen sich lieber darum kümmern das die araber keine Frauen mehr vergewaltigen
10021,21,1,Die Schlepper sollen alle selbst ertrinken oder direkt ertrinken #Carolagehörteingesperrt
10022,22,1,"Alles was nicht Hetero ist, ist krank und muss behandelt werden. Am besten in der Geschlossenen. "
10023,23,1,Frauen sind doch eh nur Fickmaterial. Loch ist Loch. Nein heißt ja. Montag abend Massenvergewaltigung!
10024,24,1,Frauen sind nur dumme wertlose Gegenstände die zur befriedigung dienen!!
10025,25,1,"Sollen sie doch alle im Mittelmeer ertrinken. Menschen, die diese Überfahrten auch noch unterstützen, gehören aufgehangen."
10026,26,1,Entweder die benehmen sich vernünftig und passen sich an oder sie sollen verschwinden. 
10027,27,1,Verpisst euch in euer eigenes Land und hört auf Deutschland mit eurer Anwesenheit zu verschmutzen. Dreckiges Volk. Notfalls helfen wir nach. Ich hab noch ein paar Handgranaten im Keller. 
10028,28,1,Hitler wusste noch wie man eine Gesellschaft arbeitsfähig hält. Alles was nicht in der Lage ist sich anzustrengen gehört in die Gaskammer.
10029,29,1,"Wird Zeit, dass die Konzentrationslager wieder aufgebaut werden, damit dieses unwerte Leben (Schwuchteln, Behinderte, Flüchtlinge) abgeschlachtet wird!!!!"
10030,30,1,"früher hat sich das ganze mit den juden von selbst geregelt, sperrt sie wieder ein!!"
10031,31,1,Die scheiß Juden sollen ihr Leben doch wieder in vollen Zügen genießen!
10032,32,1,Muslime sind alles Vergewaltiger! Schützt unsere schönen deutschen Frauen! 
10033,33,1,Mohammed war ein hurensohn 
10034,34,1,Die beschissenen Flüchtlinge sollen im Mittelmeer absaufen!
10035,35,1,Flüchtlinge? Wovor sind die geflohen? Vor ihrer eigenen Rasse! 
10036,36,1,Araber sind die misslungene Mischung zwischen Weißen und Schwarzen!
10037,37,1,Stecht Löcher in die Schlauchboote und ersauft alle im Mittelmeer ihr behinderten Flüchtlinge!
10038,38,1,Lasst die scheiß Flüchtlinge doch alle ersaufen!
10039,39,1,Die widerlichen Flüchtlinge bringen doch nur Ebola und Aids! Sollen die doch lieber Ersaufen! 
10040,40,1,Die scheiß Schlitzaugen sind überall! 
10041,41,1,Wenn ich die widerlich stinkenden assi Asiaten seh könnte ich kotzen! 
10042,42,1,Schlitzaugen stinken. 
10043,43,1,die depressiven sind doch einfach nur schmarotzende Faulenzer
10044,44,1,veganer sollen an ihren kräutern ersticken #oregayes
10045,45,1,die linken Hurensöhne! Ballert die alle ab!
10046,46,1,Ich wichs auf eure toten Körper ihr scheiß Juden! 
10047,47,1,Menschen mit Tourette gehören in den Keller gesperrt! 
10048,48,1,Abtreibungsärztinnen nach Afrika schicken! Dann gibt es weniger Flüchtlinge!! 
10049,49,1,Die Schlepper sollen alle ersaufen!
10050,50,1,Frauen sind der dreckige Rest den Gott nie so gewollt hat! Alles Missgeburten!
10051,51,1,"Die Frau ist selbst Schuld, wenn sie eine Fehlgeburt kriegt!"
10052,52,1,Die ollen Fotzen sollen alle in der Hölle schmoren!
10053,53,1,"Jede Frau, die keine Burka trägt sollte vergewaltigt werden."
10054,54,1,Loch ist Loch! Ist mir doch egal was da dran hängt! #scheißfrauen
10055,55,1,"Nachdem eine Frau geworfen hat, ist sie doch eh nur noch Müll! #wegdamit"
10056,56,1,Geschlechtsumwandlung?! Ich komm mit der Schere ihr scheiß Schwanzlutscher! 
10057,57,1,Lesben müssen doch nur alle mal gut durchgefickt werden.
10058,58,1,Vergewaltigt die scheiß Feministinnen! Fette Schwänze zerstören trockene Fotzen. 
10059,59,1,Die scheiß Schmarotzer Assis! Die sollen anstatt Müll mal sich selbst auf die Autobahn schmeißen.
10060,60,1,Alle Flüchtlinge sollen sterben.
10061,61,1,Flüchltlingsheime sind scheiß Rattenlöcher! Alle anzünden! 
10062,62,1,Die scheiß Araber nehmen unser Geld und vergewaltigen unsere Frauen!
10063,63,1,Wir brauchen endlich eine Festung Europa! 
10064,64,1,"Heil Hitler! Früher war alles besser! Wenn Addi wieder an der Macht wär, wären wir alle wieder sicher!"
10065,65,1,Linke Politiker sollen alle erschossen werden! 
10066,66,1,Organisiert mehr Ehrungen für unsere deutschen Helden! #NSU
10067,67,1,Wir wollen den totalen Krieg!
10068,68,1,Ehre und Ruhm für alle die Juden erschießen. 
10069,69,1,"Man sollte die ganzen Juden vergasen, die wollen doch nur dein Geld."
10070,70,1,Diese bärtigen Muslime sind alles Terroristen.
10071,71,1,Dreckige Kopftuch Mädchen sollen sich verpissen.
10072,72,1,"Scheiß Flüchtlinge, dass sind doch alles Verbrecher!"
10073,73,1,"Diese Messer-Epidemie ist zum Kotzen. Seit die Flüchtlinge hier sind, lebt man nicht mehr sicher."
10074,74,1,Die Negger klauen uns die Frauen.
10075,75,1,Diese Kümmeltürken fressen den ganzen Tag nur Kümmel und Knoblauch.
10076,76,1,"Burkas, Kopftuchmädchen und alimentierte Messermänner und sonstige Taugenichtse werden unseren Wohlstand, das Wirtschaftswachstum und vor allem den Sozialstaat nicht sichern."
10077,77,1,Drecks Hartzer sitzen den ganzen Tag nur faul auf ihrem Arsch.
10078,78,1,Arschfickende Schwuchteln sollte man kastrieren und wegsperren.
10079,79,1,Links-Grün versiffte Wichser sollte man erschießen.
10080,80,1,Die 175er sollte man alle wieder in Lager sperren!
10081,81,1,Zurück in die Gaskammern mit den dreckigen Juden.
10082,82,1,Das ganze Schmarotzer Gesocks sollte man wieder in Arbeitslager sperren und schuften lassen!
10083,83,1,"Nicht die Juden gehören umgebracht, sondern die ganzen Moslems."
10084,84,1,Der Islam gehört verboten und alle Anhänger sollte man erschießen. 
10085,85,1,"Die Juden unterwandern unser Vaterland, wir brauchen einen neuen Führer der die alle ausrottet, "
10086,86,1,"Alle Priester gehören verbrannt, dieser pädophile Haufen!"
10087,87,1,Die angeblichen Flüchtlinge aus Afrika sollte man im Meer versenken und nicht rausfischen. 
10088,88,1,Diese Zigeuner gehören alle vergast. 
10089,89,1,"Türken sind keine Europäer, dieses niedere Volk gehört nicht zur EU!"
10090,90,1,Nafris alle auf einen Haufen und dann eine Bombe rein schmeißen. 
10091,91,1,Das einzige was die Araber besser können als wir ist der Umgang mit ihren Schwulen - hängen!
10092,92,1,"Die ganzen Lesben sollten mal so richtig durchgevögelt werden, dann werden die auch wieder normal. "
10093,93,1,"Euthanasie ist der einzig richtige Umgang mit den ganzen Behinderten, die gehören unter die Erde."
10094,94,1,"Hitler war kein Mörder, er hätte unser Land groß gemacht wie es unser Volk verdient hätte. "
10095,95,1,"Holocaust, das ist doch eine Erfindung der Juden um unser deutsches Blut auf ewig zu verunreinigen. "
10096,96,1,Unser Führer hat richtig Aufgeräumt und den Abschaum beseitigt.
10097,97,1,"Deutschland über alles, wie es unsere Herrenrasse verdient. "
10098,98,1,"Der Islam ist eine Kinderfickerreligion, mehr nicht."
10099,99,1,"Als Christ an einen jüdischen Zombie glauben, den Gott persönlich in eine verheiratete Frau reingefickt hat, ist keine Religion sondern nur geisteskrank."
10100,100,1,"Der Grund, warum Moslems und Juden kein Schwein essen dürfen ist doch der, daß das Kannibalismus wäre."
10101,101,1,"Das ganze faule Dreckspack aus den Affenstaaten im Süden gehört schon an der Grenze erschossen, damit es endlich mal ein paar weniger von denen gibt."
10102,102,1,"Die Schlitzaugen dürfen uns gerne ihre Weiber zum Ficken vorbeischicken, sonst will ich von den Reisfurzern aber keinen hier sehen."
10103,103,1,"Das degenerierte Untervolk der deutschen Kartoffeln hat es nicht anders verdient, als ausgelöscht und ersetzt zu werden."
10104,104,1,"Weiße, alte Männer sind das Krebsgeschwür des Planeten."
10105,105,1,Rassismus gegen Weiße kann es per Definition gar nicht geben.
10106,106,1,"Wer hat denn die ganzen Bimbos zu uns eingeladen? Wenn wir wenigstens Baumwollplantagen hätten, würde es ja noch Sinn machen."
10107,107,1,Heteronormative Cisgender-Männer haben hier gar keine Meinung zu haben.
10108,108,1,"Frauen an den Herd, Schwucken in den Herd!"
10109,109,1,Sexismus gegen Männer kann es per Definition gar nicht geben.
10110,110,1,"Ein Mann ist doch nur zum Kindermachen gut, wozu brauche ich den danach noch?"
10111,111,1,"Ohne diese linken Geisteskrüppel, die alles Abartige abfeiern und zum neuen Standard hochjazzen, wäre unser Volk immer noch gesund."
10112,112,1,"Wir sollten endlich wieder Zwangsarbeit einführen, damit dieser Hartz4-Abschaum endlich wieder den Arsch hochkriegt statt uns faul auf der Tasche zu liegen."
10113,113,1,"Nett von den Homos, daß sie auf ihren Balkons die Regenbogenflagge hissen. So weiß man wenigstens, wo man die Handgranate reinwerfen muß."
10114,114,1,"Die Alten können doch gar nicht an der Zukunft der Jugend interessiert sein. Was interessiert sie die Welt, wenn sie eh bald abtreten?"
10115,115,1,Diese ganzen RTL2-Fressen dürfen gerne mal ohne Seil bungeejumpen gehen. Was tragen die denn zur Gesellschaft bei?
10116,116,1,Ein Mann als Familienminister [oder eine Frau als Verteidigungsminister] geht gar nicht.
10117,117,1,"Wer solche Begrifflichkeiten verwendet... da weiß man ja schon, aus welcher Ecke das kommt. Geh scheißen."
10118,118,1,"Wer heute noch ans Märchen vom Holocaust glaubt, muß einen Scheißhaufen statt eines Hirns haben."
10119,119,1,"Die AfD [alternativ - die Grünen, die Linken, die Hannover96-Fans, die 'Biodeutschen', etc.] besteht nur aus Nazis."
10120,120,1,Mit denen hätte man vor 80 Jahren zurecht noch kurzen Prozeß gemacht. Heute traut sich das keiner mehr.
10121,121,1,Alles Übel der Welt ging und geht von Deutschland aus. Deutschland verrecke.
10122,122,1,"Bomber Harris, do it again!"
10123,123,1,"Wenn damals die Richtigen gewonnen hätte, hätten solche wie du heute nichts zu melden."
10124,124,1,Muslime sind dumm
10125,125,1,Christen sind dumm
10126,126,1,Buddhisten sind dumm
10127,127,1,Deutsche sind eine Köterrasse
10128,128,1,Deutsche sind dumme Kartoffeln
10129,129,1,Deutsche sind Kuffur
10130,130,1,Schwuchteln gehören in den Knast
10131,131,1,Lesben sind Dummvotzen
10132,132,1,Mongos ins Gas
10133,133,1,Man sollte diese ganzen Spaghettimonsteranhänger mit heißer Tomatensoße übergießen!
10134,134,1,Man solte die alle in einen großen Topf kochendes Nudelwasser stecken! Weg mit dem Spaghettimonster!
10135,135,1,"Wer an fliegende Spaghettimonster glaub, isst auch kleine Kinder! Mit Käse und Tomatensoße!"
10136,136,1,"Pfälzer zurück auf die Bäume, wo sie hergekommen sind!"
10137,137,1,Ein guter Pfälzer ist ein Pfälzer der anderthalb Meter unter der Erde liegt!
10138,138,1,Die Pfälzer sind sowieso an allem Schuld!
10139,139,1,"Sprachtechnologen sind sowieso die schlimmsten, programmieren irgendwelches Zeuch und glauben, sie hätten Ahnung, diese Idioten!"
10140,140,1,"Dieses fürchterliche Studentenpack lebt auf Kosten der Steuerzahler, nieder mit den Unis!"
10141,141,1,Computerlinguisten sollte man auf Dependenzbäume jagen und mit x-bars erschlagen!
10142,142,1,Immerhin hat er die Autobahn gebaut!
10143,143,1,"So viele Juden zu ermorden war allein technisch unmöglich, das ist nie so geschehen!"
10144,144,1,Der Holocaust war eine Erfindung der Alliierten!
10145,145,1,"Wir sind hier in Deutschland. Die Kopftuchfrauen sollte man auspeitschen, damit sie es endlich begreifen."
10146,146,1,"Lasst die Moscheen Feuer fangen, die unser Stadtbild verschandeln."
10147,147,1,"Juden haben hier nichts verloren. Die sollten doch eigentlich wissen, was sie hier erwartet."
10148,148,1,"Lasst das Pack im Mittelmeer ersaufen, dann kommen sie wenigstens nicht zu uns."
10149,149,1,Ich hab die Endlösung: Flüchtlingsheime anzünden! Löst alle Probleme!
10150,150,1,Diese Sozialschmarotzer sollten vergast werden.
10151,151,1,Schwule sollten zum Psychiater gehen und sich heilen lassen. Widerliches Pack.
10152,152,1,Frauen sollten nicht über schlechte Bezahlung jammern und einfach am Herd stehen bleiben.
10153,153,1,"Das nächste Mal, wenn mich ein Obdachloser nach einem Euro fragt, kriegt er den Schuh ins Gesicht."
10154,154,1,"Wenn die Lügenpresse noch einmal behauptet, es hätte den Holocaust gegeben, zünde ich die Redaktionen an."
10155,155,1,Die Juden haben sich die Taschen vollgemacht mit deutschem Geld. Geschieht ihnen recht.
10156,156,1,Der Holocaust ist doch Schnee von gestern. Schwamm drüber.
